id,type,varieties,size,tannin
0,Red,Cabernet Sauvignon,2786,3.6605113636363638
1,Red,Pinot Noir,2276,2.3707521954944637
2,Red,Merlot,1658,3.19237641453246
3,Red,Syrah & Shiraz,1341,3.6693255982596082
4,Red,Sangiovese,887,3.0772676371780516
5,Red,Tempranillo,597,3.1731391585760518
6,Red,Grenache,490,3.182795698924731
7,Red,Nebbiolo,446,4.17439293598234
8,Red,Malbec,313,3.7563291139240507
9,Red,Blend,305,2.1770833333333335
10,Red,Carmenere,252,3.241106719367589
11,Red,Barbera,177,2.8603351955307263
12,Red,Zinfandel,151,2.856382978723404
13,Red,Corvina,146,3.1824324324324325
14,Red,Montepulciano,143,3.3087248322147653
15,Red,Monastrell,133,3.1134751773049647
16,Red,Garnacha,119,2.8345864661654137
17,Red,Cabernet Franc,118,3.193798449612403
18,Sparkling,Chardonnay,514,1.0053394355453853
19,Sparkling,Pinot Noir,311,2.3707521954944637
20,White,Chardonnay,2095,1.0053394355453853
21,White,Sauvignon blanc,729,1.0054347826086956
22,White,Riesling,464,1.0
23,White,Moscato,238,1.0057971014492753
24,White,Semillon,153,1.0
25,White,Blend,122,2.1770833333333335
